Waterbody OGF ID,Zone Number,Species,Species French,Season,Season French,Limit,Limit French,Size Limit Only,Size Limit Only French,Waterbody Description,Waterbody Description French,Effective Date,Expiry Date
125207743,4,Brook Trout,Omble de fontaine,Open all year,Pêche ouverte toute l’année,S - 5,S - 5,No size limits,Aucune limite de taille,"Krisko Lake (49°42'33""N., 91°12'60""W.)","Lac Krisko (49° 42' 33""N., 91° 12' 60""O.)",01/01/2022,12/31/2022
125207743,4,Brook Trout,Omble de fontaine,Open all year,Pêche ouverte toute l’année,C - 2,C - 2,No size limits,Aucune limite de taille,"Krisko Lake (49°42'33""N., 91°12'60""W.)","Lac Krisko (49° 42' 33""N., 91° 12' 60""O.)",01/01/2022,12/31/2022
125207744,4,Brook Trout,Omble de fontaine,Open all year,Pêche ouverte toute l’année,S - 5,S - 5,No size limits,Aucune limite de taille,"Larger Unnamed Lake (50°18’43”N., 91°20'47""W.) - Mile 40",Grand lac sans nom (50°18’43” N. et 91°20’47” O.) - connu sous le nom de Mile 40,01/01/2022,12/31/2022
125207744,4,Brook Trout,Omble de fontaine,Open all year,Pêche ouverte toute l’année,C - 2,C - 2,No size limits,Aucune limite de taille,"Larger Unnamed Lake (50°18’43”N., 91°20'47""W.) - Mile 40",Grand lac sans nom (50°18’43” N. et 91°20’47” O.) - connu sous le nom de Mile 40,01/01/2022,12/31/2022
125207745,4,Brook Trout,Omble de fontaine,Open all year,Pêche ouverte toute l’année,S - 5,S - 5,No size limits,Aucune limite de taille,"Little Butler Lake (49°28'41""N., 91°50'29""W.) - Bradshaw Township","Lac Little Butler (49° 28' 41""N., 91° 50' 29""O.) - canton de Bradshaw",01/01/2022,12/31/2022
125207745,4,Brook Trout,Omble de fontaine,Open all year,Pêche ouverte toute l’année,C - 2,C - 2,No size limits,Aucune limite de taille,"Little Butler Lake (49°28'41""N., 91°50'29""W.) - Bradshaw Township","Lac Little Butler (49° 28' 41""N., 91° 50' 29""O.) - canton de Bradshaw",01/01/2022,12/31/2022
125207746,4,Brook Trout,Omble de fontaine,Open all year,Pêche ouverte toute l’année,S - 5,S - 5,No size limits,Aucune limite de taille,"Little Snowstorm Lake (49°37'26""N., 91°43'06""W.)","Lac Little Snowstorm (49° 37' 26""N., 91° 43' 06""O.)",01/01/2022,12/31/2022
125207746,4,Brook Trout,Omble de fontaine,Open all year,Pêche ouverte toute l’année,C - 2,C - 2,No size limits,Aucune limite de taille,"Little Snowstorm Lake (49°37'26""N., 91°43'06""W.)","Lac Little Snowstorm (49° 37' 26""N., 91° 43' 06""O.)",01/01/2022,12/31/2022
125207747,4,Brook Trout,Omble de fontaine,Open all year,Pêche ouverte toute l’année,S - 5,S - 5,No size limits,Aucune limite de taille,"McLaurin Lake (49°43'13""N., 91°12'05""W.)","Lac McLaurin (49° 43' 13""N., 91° 12' 05""O.)",01/01/2022,12/31/2022
125207747,4,Brook Trout,Omble de fontaine,Open all year,Pêche ouverte toute l’année,C - 2,C - 2,No size limits,Aucune limite de taille,"McLaurin Lake (49°43'13""N., 91°12'05""W.)","Lac McLaurin (49° 43' 13""N., 91° 12' 05""O.)",01/01/2022,12/31/2022
125207748,4,Brook Trout,Omble de fontaine,Open all year,Pêche ouverte toute l’année,S - 5,S - 5,No size limits,Aucune limite de taille,"Nyilas Lake (50°03'57""N., 92°04'20""W.) - Drayton Township","Lac Nyilas (50° 03' 57""N., 92° 04' 20""O.) - canton de Drayton",01/01/2022,12/31/2022
125207748,4,Brook Trout,Omble de fontaine,Open all year,Pêche ouverte toute l’année,C - 2,C - 2,No size limits,Aucune limite de taille,"Nyilas Lake (50°03'57""N., 92°04'20""W.) - Drayton Township","Lac Nyilas (50° 03' 57""N., 92° 04' 20""O.) - canton de Drayton",01/01/2022,12/31/2022
