Waterbody OGF ID,Waterbody Location Identifier,Official Name,Official French Name,Unofficial Name,Latitude,Longitude,Effective Date,Expiry Date
125209687,17-5135-51853,Parkin Creek,ruisseau Parkin,,46.8214878,-80.8232209,01/01/2022,12/31/2022
125209687,17-5138-52439,Kidd Lake,lac Kidd,,47.3550183,-80.8217339,01/01/2022,12/31/2022
125209687,17-5138-52605,O'Gormon Lake,lac O'Gormon,,47.4986047,-80.8218307,01/01/2022,12/31/2022
125209687,17-5138-52679,Thomson Creek,ruisseau Thomson,,47.5672795,-80.8100146,01/01/2022,12/31/2022
125209687,17-5163-52772,Outlet Bay,baie Outlet,,47.65228,-80.78252,01/01/2022,12/31/2022
125209687,17-5128-52726,Long Lake,lac Long,,47.60868,-80.82896,01/01/2022,12/31/2022
125209687,17-5116-52284,Stewart Lake,lac Stewart,,47.21145,-80.84674,01/01/2022,12/31/2022
125209687,17-5112-52774,Lett Lake,lac Lett,,47.6526235,-80.8508167,01/01/2022,12/31/2022
125209687,17-5113-51685,Lac St. Jean,lac St-Jean,,46.67201,-80.85259,01/01/2022,12/31/2022
125209687,17-5113-52352,Bootleg Lake,lac Bootleg,,47.272,-80.84981,01/01/2022,12/31/2022
125209687,17-5113-52494,Brace Creek,ruisseau Brace,,47.4020931,-80.8460898,01/01/2022,12/31/2022
125209687,17-5113-52568,Perch Lake,lac Perch,,47.4604269,-80.8522816,01/01/2022,12/31/2022
125209687,17-5113-52624,Ridge Lake,lac Ridge,,47.5204369,-80.8457771,01/01/2022,12/31/2022
125209687,17-5113-52642,Lower Ridge Lake,lac Lower Ridge,,47.5353827,-80.8420825,01/01/2022,12/31/2022
125209687,17-5113-52698,Elkhorn Lake,lac Elkhorn,,47.5903,-80.84949,01/01/2022,12/31/2022
125209687,17-4851-51943,McGrindle Lake,lac McGrindle,,46.90423,-81.19594,01/01/2022,12/31/2022
125209687,17-5126-51745,Minnow Lake,lac Minnow,,46.72562,-80.83509,01/01/2022,12/31/2022
125209687,17-5376-52662,Wallis Lake,lac Wallis,,47.5524296,-80.4988431,01/01/2022,12/31/2022
125209687,17-5138-52716,Brennan Lake,lac Brennan,,47.6002391,-80.8242125,01/01/2022,12/31/2022
125209687,17-5116-52766,Gorman Lake,lac Gorman,,47.6454237,-80.8459151,01/01/2022,12/31/2022
125209687,17-5117-51730,Amy Lake,lac Amy,,46.71284,-80.84675,01/01/2022,12/31/2022
125209687,17-5118-52248,Dave Lake,lac Dave,,47.17839,-80.84397,01/01/2022,12/31/2022
125209687,17-5120-52145,Bowland Lake,lac Bowland,,47.0886744,-80.8424843,01/01/2022,12/31/2022
