Fish Sanctuary OGF ID,Latitude,Longitude,Effective Date,Expiry Date
107035471,51.0851012,-93.9727203,01/01/2022,12/31/2022
107035472,45.0665838,-79.0683178,01/01/2022,12/31/2022
107035473,46.9475235,-80.309878,01/01/2022,12/31/2022
107035474,45.0484285,-78.2147461,01/01/2022,12/31/2022
107035475,46.7310134,-84.2215146,01/01/2022,12/31/2022
107035476,46.1353765,-79.8777274,01/01/2022,12/31/2022
107035477,45.1755819,-78.7891141,01/01/2022,12/31/2022
107035478,45.3915996,-79.0094013,01/01/2022,12/31/2022
107035479,45.4303782,-78.926354,01/01/2022,12/31/2022
107035480,45.3215085,-78.5838535,01/01/2022,12/31/2022
107035481,43.3900319,-80.1545261,01/01/2022,12/31/2022
107035482,45.8099944,-79.6850442,01/01/2022,12/31/2022
107035483,44.9770272,-78.4144175,01/01/2022,12/31/2022
107035484,44.4447731,-76.0816514,01/01/2022,12/31/2022
107035485,49.6399142,-93.0568035,01/01/2022,12/31/2022
107035486,44.8839193,-79.1911461,01/01/2022,12/31/2022
107035487,44.9089596,-75.1688754,01/01/2022,12/31/2022
107035488,44.8113355,-79.3657044,01/01/2022,12/31/2022
107035489,46.1866651,-82.8101572,01/01/2022,12/31/2022
107035490,48.3702468,-81.6712322,01/01/2022,12/31/2022
107035491,46.0019923,-81.9322445,01/01/2022,12/31/2022
107035492,46.3074372,-83.2714972,01/01/2022,12/31/2022
107035493,45.1985812,-76.1567193,01/01/2022,12/31/2022
107035494,45.1511577,-74.6190207,01/01/2022,12/31/2022
107035495,46.2106349,-82.5162708,01/01/2022,12/31/2022
107035496,42.6060038,-81.84058,01/01/2022,12/31/2022
107035497,44.4444968,-76.0926912,01/01/2022,12/31/2022
107035498,46.349859,-79.9549276,01/01/2022,12/31/2022
107035499,46.6726701,-80.3041201,01/01/2022,12/31/2022
107035500,46.8828393,-80.1334875,01/01/2022,12/31/2022
107035501,46.8894894,-80.2448266,01/01/2022,12/31/2022
107035502,45.0653148,-78.3763339,01/01/2022,12/31/2022
107035503,49.2438269,-87.4748172,01/01/2022,12/31/2022
107035504,46.0273624,-79.5279769,01/01/2022,12/31/2022
107035505,46.8878368,-80.3368914,01/01/2022,12/31/2022
107035506,46.4767077,-80.9469226,01/01/2022,12/31/2022
107035507,46.5212537,-79.8319457,01/01/2022,12/31/2022
107035508,46.1200641,-81.256849,01/01/2022,12/31/2022
107035509,48.5712384,-85.6495995,01/01/2022,12/31/2022
107035510,50.1239391,-93.1734655,01/01/2022,12/31/2022
107035511,49.7714462,-93.5672257,01/01/2022,12/31/2022
107035512,49.6076291,-93.2001392,01/01/2022,12/31/2022
107035513,50.3659312,-86.7661859,01/01/2022,12/31/2022
107035514,50.4510305,-87.2239298,01/01/2022,12/31/2022
107035515,51.15556,-90.42583,01/01/2022,12/31/2022
107035516,50.14911165,-86.62627775,01/01/2022,12/31/2022
107035517,52.57806,-90.39028,01/01/2022,12/31/2022
107035518,49.8124387,-83.77921,01/01/2022,12/31/2022
107035519,49.7541086,-83.9250422,01/01/2022,12/31/2022
107035521,49.7905452,-83.6575766,01/01/2022,12/31/2022
107035522,49.8122654,-83.9468876,01/01/2022,12/31/2022
107035523,49.8373532,-83.8512932,01/01/2022,12/31/2022
107035524,49.4915548,-91.6323359,01/01/2022,12/31/2022
107035525,50.1042751,-90.8467569,01/01/2022,12/31/2022
107035526,50.7744184,-93.3603477,01/01/2022,12/31/2022
107035527,49.4844594,-91.7000177,01/01/2022,12/31/2022
107035528,49.9642064,-92.32291975,01/01/2022,12/31/2022
107035529,49.5594845,-91.3126705,01/01/2022,12/31/2022
107035530,50.2669607,-93.1911773,01/01/2022,12/31/2022
107035531,49.5240461,-91.1623269,01/01/2022,12/31/2022
107035532,49.9293521,-91.7892826,01/01/2022,12/31/2022
107035533,49.9459673,-91.929812,01/01/2022,12/31/2022
107035534,50.4273133,-93.2402946,01/01/2022,12/31/2022
107035536,50.2357265,-93.0186221,01/01/2022,12/31/2022
107035537,50.7633274,-93.5283244,01/01/2022,12/31/2022
107035538,50.345766,-93.1453581,01/01/2022,12/31/2022
107035539,50.1149817,-93.0243862,01/01/2022,12/31/2022
107035540,51.1583333,-93.7585,01/01/2022,12/31/2022
107035541,50.8034439,-91.4212254,01/01/2022,12/31/2022
107035542,50.6689088,-91.674177,01/01/2022,12/31/2022
107035543,50.5878199,-90.4016101,01/01/2022,12/31/2022
107035544,50.8809542,-93.1607274,01/01/2022,12/31/2022
